Eseguito con cores=242, threads=1, width=15556.34, height=15556.34, time=1.352403
Eseguito con cores=243, threads=1, width=15588.45, height=15588.45, time=1.353984
Eseguito con cores=244, threads=1, width=15620.49, height=15620.49, time=1.353448
Eseguito con cores=245, threads=1, width=15652.47, height=15652.47, time=1.366841
Eseguito con cores=246, threads=1, width=15684.38, height=15684.38, time=1.373468
Eseguito con cores=247, threads=1, width=15716.23, height=15716.23, time=1.381948
Eseguito con cores=248, threads=1, width=15748.01, height=15748.01, time=1.411681
Eseguito con cores=249, threads=1, width=15779.73, height=15779.73, time=1.430707
Eseguito con cores=250, threads=1, width=15811.38, height=15811.38, time=1.428762
Eseguito con cores=251, threads=1, width=15842.97, height=15842.97, time=1.398300
Eseguito con cores=252, threads=1, width=15874.50, height=15874.50, time=1.396585
Eseguito con cores=253, threads=1, width=15905.97, height=15905.97, time=1.500415
Eseguito con cores=254, threads=1, width=15937.37, height=15937.37, time=1.659768
Eseguito con cores=255, threads=1, width=15968.71, height=15968.71, time=1.376872
Eseguito con cores=256, threads=1, width=16000.00, height=16000.00, time=1.374258
