mandelbrot.c: In function ‘main’:
mandelbrot.c:31:9: error: ‘width’ undeclared (first use in this function)
   31 |         width = atoi(argv[1]);
      |         ^~~~~
mandelbrot.c:31:9: note: each undeclared identifier is reported only once for each function it appears in
mandelbrot.c:32:9: error: ‘height’ undeclared (first use in this function)
   32 |         height = atoi(argv[2]);
      |         ^~~~~~
mandelbrot.c:33:9: error: ‘x_left’ undeclared (first use in this function)
   33 |         x_left = atof(argv[3]);
      |         ^~~~~~
mandelbrot.c:34:9: error: ‘y_lower’ undeclared (first use in this function)
   34 |         y_lower = atof(argv[4]);
      |         ^~~~~~~
mandelbrot.c:35:9: error: ‘x_right’ undeclared (first use in this function)
   35 |         x_right = atof(argv[5]);
      |         ^~~~~~~
mandelbrot.c:36:9: error: ‘y_upper’ undeclared (first use in this function)
   36 |         y_upper = atof(argv[6]);
      |         ^~~~~~~
mandelbrot.c:37:9: error: ‘max_iterations’ undeclared (first use in this function)
   37 |         max_iterations = atoi(argv[7]);
      |         ^~~~~~~~~~~~~~
mandelbrot.c:38:9: error: ‘num_threads’ undeclared (first use in this function)
   38 |         num_threads = atoi(argv[8]);
      |         ^~~~~~~~~~~
Eseguito con cores=167, threads=1, width=10000, height=10000, time=0.878639
Eseguito con cores=168, threads=1, width=10000, height=10000, time=0.810124
Eseguito con cores=169, threads=1, width=10000, height=10000, time=0.800674
Eseguito con cores=170, threads=1, width=10000, height=10000, time=0.801342
Eseguito con cores=171, threads=1, width=10000, height=10000, time=0.785881
Eseguito con cores=172, threads=1, width=10000, height=10000, time=0.788135
Eseguito con cores=173, threads=1, width=10000, height=10000, time=0.803833
Eseguito con cores=174, threads=1, width=10000, height=10000, time=0.775422
Eseguito con cores=175, threads=1, width=10000, height=10000, time=0.775873
Eseguito con cores=176, threads=1, width=10000, height=10000, time=0.780182
Eseguito con cores=177, threads=1, width=10000, height=10000, time=0.776120
Eseguito con cores=178, threads=1, width=10000, height=10000, time=0.757723
Eseguito con cores=179, threads=1, width=10000, height=10000, time=0.772515
Eseguito con cores=180, threads=1, width=10000, height=10000, time=0.758565
Eseguito con cores=181, threads=1, width=10000, height=10000, time=0.757727
Eseguito con cores=182, threads=1, width=10000, height=10000, time=0.739844
Eseguito con cores=183, threads=1, width=10000, height=10000, time=0.740281
Eseguito con cores=184, threads=1, width=10000, height=10000, time=0.730367
Eseguito con cores=185, threads=1, width=10000, height=10000, time=0.738796
Eseguito con cores=186, threads=1, width=10000, height=10000, time=0.740918
Eseguito con cores=187, threads=1, width=10000, height=10000, time=0.728043
Eseguito con cores=188, threads=1, width=10000, height=10000, time=0.728995
Eseguito con cores=189, threads=1, width=10000, height=10000, time=0.728628
Eseguito con cores=190, threads=1, width=10000, height=10000, time=0.729038
Eseguito con cores=191, threads=1, width=10000, height=10000, time=0.711887
Eseguito con cores=192, threads=1, width=10000, height=10000, time=0.718343
Eseguito con cores=193, threads=1, width=10000, height=10000, time=0.721134
Eseguito con cores=194, threads=1, width=10000, height=10000, time=0.719566
Eseguito con cores=195, threads=1, width=10000, height=10000, time=0.707366
Eseguito con cores=196, threads=1, width=10000, height=10000, time=0.707361
Eseguito con cores=197, threads=1, width=10000, height=10000, time=0.707491
Eseguito con cores=198, threads=1, width=10000, height=10000, time=0.711006
Eseguito con cores=199, threads=1, width=10000, height=10000, time=0.680293
Eseguito con cores=200, threads=1, width=10000, height=10000, time=0.686654
Eseguito con cores=201, threads=1, width=10000, height=10000, time=0.687821
Eseguito con cores=202, threads=1, width=10000, height=10000, time=0.693179
Eseguito con cores=203, threads=1, width=10000, height=10000, time=0.678689
Eseguito con cores=204, threads=1, width=10000, height=10000, time=0.679197
Eseguito con cores=205, threads=1, width=10000, height=10000, time=0.677950
Eseguito con cores=206, threads=1, width=10000, height=10000, time=0.678623
Eseguito con cores=207, threads=1, width=10000, height=10000, time=0.669934
Eseguito con cores=208, threads=1, width=10000, height=10000, time=0.667514
Eseguito con cores=209, threads=1, width=10000, height=10000, time=0.676804
Eseguito con cores=210, threads=1, width=10000, height=10000, time=0.673692
Eseguito con cores=211, threads=1, width=10000, height=10000, time=0.665109
Eseguito con cores=212, threads=1, width=10000, height=10000, time=0.650461
Eseguito con cores=213, threads=1, width=10000, height=10000, time=0.653148
Eseguito con cores=214, threads=1, width=10000, height=10000, time=0.662973
Eseguito con cores=215, threads=1, width=10000, height=10000, time=0.649126
Eseguito con cores=216, threads=1, width=10000, height=10000, time=0.642591
Eseguito con cores=217, threads=1, width=10000, height=10000, time=0.733118
Eseguito con cores=218, threads=1, width=10000, height=10000, time=0.844205
Eseguito con cores=219, threads=1, width=10000, height=10000, time=0.751203
Eseguito con cores=220, threads=1, width=10000, height=10000, time=0.677558
Eseguito con cores=221, threads=1, width=10000, height=10000, time=0.677522
Eseguito con cores=222, threads=1, width=10000, height=10000, time=0.765103
Eseguito con cores=223, threads=1, width=10000, height=10000, time=0.660088
Eseguito con cores=224, threads=1, width=10000, height=10000, time=0.629944
Eseguito con cores=225, threads=1, width=10000, height=10000, time=0.625180
Eseguito con cores=226, threads=1, width=10000, height=10000, time=0.616024
Eseguito con cores=227, threads=1, width=10000, height=10000, time=0.628252
Eseguito con cores=228, threads=1, width=10000, height=10000, time=0.628764
Eseguito con cores=229, threads=1, width=10000, height=10000, time=0.618219
Eseguito con cores=230, threads=1, width=10000, height=10000, time=0.603705
Eseguito con cores=231, threads=1, width=10000, height=10000, time=0.603930
Eseguito con cores=232, threads=1, width=10000, height=10000, time=0.603235
Eseguito con cores=233, threads=1, width=10000, height=10000, time=0.612733
Eseguito con cores=234, threads=1, width=10000, height=10000, time=0.610991
Eseguito con cores=235, threads=1, width=10000, height=10000, time=0.611355
Eseguito con cores=236, threads=1, width=10000, height=10000, time=0.593457
Eseguito con cores=237, threads=1, width=10000, height=10000, time=0.610051
Eseguito con cores=238, threads=1, width=10000, height=10000, time=0.596960
Eseguito con cores=239, threads=1, width=10000, height=10000, time=0.598297
Eseguito con cores=240, threads=1, width=10000, height=10000, time=0.595494
Eseguito con cores=241, threads=1, width=10000, height=10000, time=0.591929
Eseguito con cores=242, threads=1, width=10000, height=10000, time=0.577107
Eseguito con cores=243, threads=1, width=10000, height=10000, time=0.581119
Eseguito con cores=244, threads=1, width=10000, height=10000, time=0.579351
Eseguito con cores=245, threads=1, width=10000, height=10000, time=0.590410
Eseguito con cores=246, threads=1, width=10000, height=10000, time=0.579781
Eseguito con cores=247, threads=1, width=10000, height=10000, time=0.576707
Eseguito con cores=248, threads=1, width=10000, height=10000, time=0.576310
Eseguito con cores=249, threads=1, width=10000, height=10000, time=0.574079
Eseguito con cores=250, threads=1, width=10000, height=10000, time=0.568944
Eseguito con cores=251, threads=1, width=10000, height=10000, time=0.576707
Eseguito con cores=252, threads=1, width=10000, height=10000, time=0.573489
Eseguito con cores=253, threads=1, width=10000, height=10000, time=0.572743
Eseguito con cores=254, threads=1, width=10000, height=10000, time=0.570187
Eseguito con cores=255, threads=1, width=10000, height=10000, time=0.563963
Eseguito con cores=256, threads=1, width=10000, height=10000, time=0.575267
